UpperAngle(R)	LowerAngle(R)	UpperLegAV(R)	LowerLegAV(R)
20.666805	-28.382227	1.858341	4.398955
20.666805	-28.382227	1.858341	4.398955
22.937883	-21.468348	1.549749	4.773121
22.937883	-14.195960	1.549749	5.044031
22.937883	-14.195960	1.549749	5.044031
25.504025	-6.696380	0.895653	5.224140
25.504025	-6.696380	0.895653	5.224140
26.076689	0.909551	0.401771	5.306891
26.680479	8.383259	0.383641	5.217946
27.912798	15.214627	0.800069	4.766898
27.912798	15.214627	0.800069	4.766898
30.198650	15.214627	1.521708	4.766898
32.353336	23.570919	1.456423	2.904841
32.353336	23.570919	1.456423	2.904841
33.383900	23.688025	0.713122	0.086395
33.754639	21.176197	0.244933	-1.756555
33.754639	21.176197	0.244933	-1.756555
33.347431	17.680832	-0.281217	-2.425608
33.347431	15.599097	-0.281217	-1.395754
26.366192	15.599097	-4.754049	-1.395754
29.397972	12.265150	2.082657	-2.236287
23.863611	9.634241	-3.823827	-1.802239
23.863611	9.634241	-3.823827	-1.802239
22.585697	7.652390	-0.924668	-1.353523
21.729483	5.873358	-0.548918	-1.235631
21.729483	5.873358	-0.548918	-1.235631
17.872919	4.300665	-2.723961	-1.085022
16.189194	2.963297	-1.168442	-0.926096
16.189194	2.963297	-1.168442	-0.926096
13.994456	1.775068	-1.532309	-0.818221
11.635047	0.646584	-1.598028	-0.763152
11.635047	0.646584	-1.598028	-0.763152
9.245367	-0.408155	-1.597999	-0.712475
6.871795	-1.443163	-1.601444	-0.702414
6.871795	-1.443163	-1.601444	-0.702414
4.489836	-2.582991	-1.558241	-0.769764
4.489836	-3.922474	-1.558241	-0.907951
2.029778	-3.922474	-1.591868	-0.907951
-0.195406	-5.476424	-1.510800	-1.067168
-0.195406	-5.476424	-1.510800	-1.067168
-2.092211	-5.476424	-1.314061	-1.067168
-3.928936	-9.311479	-1.297720	-1.335800
-3.928936	-11.542736	-1.297720	-1.540509
-5.997387	-11.542736	-1.479811	-1.540509
-7.655679	-13.923628	-1.101243	-1.634093
-8.858260	-16.509127	-0.731157	-1.777620
-8.858260	-16.509127	-0.731157	-1.777620
-9.868581	-19.362940	-0.649041	-1.972609
-9.868581	-22.444624	-0.649041	-2.135609
-10.833768	-22.444624	-0.706875	-2.135609
-11.020198	-25.829782	-0.135965	-2.340976
-11.020198	-29.549482	-0.135965	-2.564178
-10.753899	-29.549482	0.211042	-2.564178
-9.708776	-33.648647	0.795974	-2.834417
-9.206363	-38.016479	0.309444	-3.032493
-9.206363	-38.016479	0.309444	-3.032493
-8.165992	-38.016479	0.711120	-3.032493
-4.908636	-47.396946	2.184732	-3.288658
-4.908636	-47.396946	2.184732	-3.288658
-3.026059	-50.235023	1.334226	-1.987052
-3.026059	-50.235023	1.334226	-1.987052
0.195075	-51.852673	2.273902	-1.133857
3.379964	-51.824524	2.204138	0.034843
3.379964	-51.824524	2.204138	0.034843
6.908743	-50.204376	2.442595	1.149833
10.096425	-50.204376	2.224309	1.149833
13.234337	-42.869400	2.183607	2.565893
13.234337	-42.869400	2.183607	2.565893
16.307842	-37.516262	2.131881	3.705547
19.125101	-31.177692	1.938608	4.369272
19.125101	-31.177692	1.938608	4.369272
21.765020	-24.097275	1.822850	4.895425
23.972069	-16.469078	1.553148	5.296978
23.972069	-16.469078	1.553148	5.296978
25.431688	-8.352363	1.025639	5.649970
26.213127	0.163261	0.539693	5.943613
26.213127	0.163261	0.539693	5.943613
26.961775	8.726770	0.527340	5.984844
26.961775	16.628914	0.527340	5.520968
28.060612	16.628914	0.757261	5.520968
31.488977	22.640413	2.326657	4.158841
35.189289	25.420515	2.536121	1.905063
35.189289	25.420515	2.536121	1.905063
35.596817	24.443659	0.269520	-0.654221
35.596817	24.443659	0.269520	-0.654221
33.820545	20.528103	-1.275193	-2.684549
28.155668	18.651592	-3.904437	-1.179072
28.155668	15.071545	-3.904437	-2.413626
24.282391	15.071545	-2.675293	-2.413626
28.103806	11.267574	2.665720	-2.534566
28.103806	8.122252	2.665720	-2.151789
22.429672	8.122252	-3.928558	-2.151789
22.726110	5.586878	0.278351	-1.764191
19.821672	3.469965	-1.944345	-1.450405
19.821672	3.469965	-1.944345	-1.450405
17.198534	1.905993	-1.778667	-1.073220
14.636136	0.696124	-1.751051	-0.838281
14.636136	0.696124	-1.751051	-0.838281
12.049506	-0.529595	-1.737404	-0.816887
12.049506	-1.795557	-1.737404	-0.835425
9.393389	-1.795557	-1.721809	-0.835425
6.991278	-3.079979	-1.529721	-0.866385
6.991278	-4.516314	-1.529721	-0.970620
4.486975	-4.516314	-1.528381	-0.970620
2.042508	-6.151249	-1.466682	-1.108394
0.024491	-7.936901	-1.341755	-1.228099
0.024491	-7.936901	-1.341755	-1.228099
-2.052638	-9.913766	-1.477878	-1.364092
-3.940418	-12.032915	-1.310085	-1.456721
-3.940418	-12.032915	-1.310085	-1.456721
-5.833485	-14.258349	-1.304254	-1.516764
-5.833485	-14.258349	-1.304254	-1.516764
-7.519814	-16.684349	-1.075052	-1.648722
-8.230274	-19.425926	-0.190102	-1.886320
-8.896541	-22.501221	-0.416471	-2.131870
-8.896541	-22.501221	-0.416471	-2.131870
-10.013743	-25.942419	-0.951596	-2.378988
-9.987631	-29.813179	0.038523	-2.651214
-9.987631	-29.813179	0.038523	-2.651214
-7.744197	-34.219463	1.740610	-3.009920
-6.933394	-38.880077	0.594657	-3.207673
-6.933394	-38.880077	0.594657	-3.207673
-5.993878	-44.104652	0.676986	-3.631299
-3.039808	-48.597775	2.056799	-3.150614
-3.039808	-48.597775	2.056799	-3.150614
-0.896274	-51.473137	1.492608	-2.015323
2.023124	-52.914963	2.035918	-1.023672
2.023124	-52.914963	2.035918	-1.023672
5.331246	-52.317318	2.302454	0.442728
5.331246	-50.076744	2.302454	1.595635
9.048719	-50.076744	2.596583	1.595635
12.084930	-46.373894	2.055075	2.594552
15.200098	-41.340572	2.104561	3.487761
15.200098	-41.340572	2.104561	3.487761
18.110474	-35.291954	1.990122	4.172480
18.110474	-35.291954	1.990122	4.172480
20.845039	-28.407104	1.840060	4.752017
20.845039	-20.972630	1.840060	5.171457
25.442341	-20.972630	1.531208	5.171457
25.442341	-20.972630	1.531208	5.171457
27.058306	-4.784125	1.120933	5.646369
27.058306	-4.784125	1.120933	5.646369
27.881775	3.713585	0.607195	5.933752
28.713274	12.006905	0.647339	5.795225
28.713274	12.006905	0.647339	5.795225
30.162180	19.264349	0.980922	5.064479
33.398010	24.221897	2.113637	3.437704
33.398010	24.221897	2.113637	3.437704
36.215351	25.736286	1.945977	1.058741
36.326923	23.607082	0.014044	-1.458146
35.504002	19.108006	-0.654140	-3.113990
35.504002	19.108006	-0.654140	-3.113990
24.352497	17.666281	-7.751742	-0.937322
28.040703	13.458010	2.582631	-2.881578
28.040703	13.458010	2.582631	-2.881578
27.653320	9.909127	-0.275333	-2.448115
19.827030	7.246648	-5.510566	-1.851614
19.827030	7.246648	-5.510566	-1.851614
17.242359	4.959181	-1.647686	-1.577600
16.643682	2.943675	-0.282131	-1.365726
16.643682	2.943675	-0.282131	-1.365726
13.215309	1.419506	-2.430468	-1.049237
9.886595	0.201170	-2.336925	-0.834247
9.886595	0.201170	-2.336925	-0.834247
7.688314	-1.013736	-1.344312	-0.799810
5.651389	-2.327976	-1.155625	-0.862021
5.651389	-2.327976	-1.155625	-0.862021
2.563118	-2.327976	-1.965459	-0.862021
2.563118	-2.327976	-1.965459	-0.862021
0.032487	-5.260910	-1.460941	-0.990619
-1.940247	-7.012748	-1.018793	-1.190025
-3.937548	-8.877538	-1.307758	-1.285597
-3.937548	-8.877538	-1.307758	-1.285597
-6.882423	-10.874796	-2.138647	-1.380342
-6.882423	-10.874796	-2.138647	-1.380342
-9.384504	-13.037252	-1.767363	-1.485983
-11.604198	-15.345477	-1.416465	-1.582759
-13.090111	-17.954901	-0.727724	-1.787296
-13.090111	-17.954901	-0.727724	-1.787296
-13.580951	-20.847198	-0.119908	-2.001590
-14.950487	-24.071938	-1.022416	-2.238355
-14.950487	-24.071938	-1.022416	-2.238355
-14.950487	-27.669947	-1.022416	-2.486861
-13.212297	-31.747181	0.736502	-2.801016
-13.212297	-31.747181	0.736502	-2.801016
-10.710292	-36.167084	1.916963	-3.055494
-10.958262	-41.370155	-0.401744	-3.610815
-10.958262	-41.370155	-0.401744	-3.610815
-11.088761	-46.251816	-0.192527	-3.400785
-8.384447	-46.251816	1.958921	-3.400785
-8.384447	-46.251816	1.958921	-3.400785
-4.102146	-51.276100	3.033681	-1.784893
-4.102146	-51.269398	3.033681	-0.001285
-4.102146	-51.269398	3.033681	-0.001285
2.173847	-49.536457	2.186740	1.237560
2.173847	-46.436470	2.186740	2.183575
6.677458	-46.436470	3.148398	2.183575
9.656388	-41.968330	1.920189	3.103884
12.574631	-36.376575	1.864436	3.853447
12.574631	-36.376575	1.864436	3.853447
15.826964	-29.797523	2.110268	4.512344
15.826964	-29.797523	2.110268	4.512344
15.826964	-29.797523	2.110268	4.512344
20.096634	-14.816413	1.325040	5.189641
21.910681	-6.594816	1.246288	5.728429
21.910681	-6.594816	1.246288	5.728429
23.104069	1.931932	0.843857	5.950117
23.104069	1.931932	0.843857	5.950117
24.286121	1.931932	0.865831	5.950117
26.119038	18.092024	1.293337	5.644344
30.748205	23.684622	3.172168	3.870724
30.748205	23.684622	3.172168	3.870724
36.603664	25.907198	4.120779	1.538396
36.603664	24.303459	4.120779	-1.089715
36.447411	24.303459	-0.174472	-1.089715
36.447411	20.148352	-0.174472	-2.863748
36.447411	18.043514	-0.174472	-1.381911
23.955776	18.043514	-4.498417	-1.381911
27.811405	13.773663	2.679186	-2.911982
27.811405	13.773663	2.679186	-2.911982
26.990522	10.294202	-0.621664	-2.398345
16.554426	7.882132	-7.343153	-1.676013
16.554426	5.694189	-7.343153	-1.503955
11.475770	5.694189	-3.280003	-1.503955
3.287319	3.827492	-5.739458	-1.264410
-2.395908	2.535325	-3.969459	-0.897474
-2.395908	2.535325	-3.969459	-0.897474
-4.134627	2.535325	-1.131266	-0.897474
-4.134627	2.535325	-1.131266	-0.897474
-5.618526	0.300387	-0.797233	-0.753282
-8.308228	-0.967831	-1.607251	-0.834919
-11.025038	-2.327951	-1.603495	-0.916389
-11.025038	-2.327951	-1.603495	-0.916389
-13.394845	-3.900914	-1.286496	-1.061427
-15.654238	-3.900914	-1.291293	-1.061427
-15.654238	-3.900914	-1.291293	-1.061427
-17.493704	-7.461081	-1.271444	-1.222396
-20.606026	-9.461918	-2.082224	-1.381871
-20.606026	-9.461918	-2.082224	-1.381871
-23.712629	-9.461918	-2.107782	-1.381871
-26.424673	-13.894503	-1.784681	-1.527297
-26.424673	-13.894503	-1.784681	-1.527297
-27.946909	-13.894503	-0.802967	-1.527297
-27.946909	-13.894503	-0.802967	-1.527297
-28.075592	-13.894503	0.111748	-1.527297
-28.401155	-22.663345	-0.164534	-2.020177
-28.401155	-26.293087	-0.164534	-2.512727
-28.909384	-26.293087	-0.329733	-2.512727
-26.810497	-30.321314	1.461794	-2.767874
-23.389690	-34.772007	2.576533	-3.054656
-23.389690	-34.772007	2.576533	-3.054656
-19.952253	-39.412064	2.562393	-3.213544
-19.952253	-44.472412	2.562393	-3.525923
-20.332876	-44.472412	-0.125804	-3.525923
-25.386633	-48.238323	-3.603425	-2.636985
-27.543062	-50.642822	-1.582427	-1.692097
-27.543062	-50.642822	-1.582427	-1.692097
-22.566364	-51.250835	3.443759	-0.436137
-17.360155	-50.148090	3.663655	0.789227
-17.360155	-50.148090	3.663655	0.789227
-13.491795	-47.626740	2.639292	1.785579
-13.491795	-43.709953	2.639292	2.746342
-13.491795	-43.709953	2.639292	2.746342
-5.398745	-38.665531	2.681805	3.503996
-1.684380	-32.639050	2.426815	4.163872
-1.684380	-32.639050	2.426815	4.163872
0.701442	-25.935179	1.468415	4.645074
3.294285	-25.935179	1.640752	4.645074
3.294285	-25.935179	1.640752	4.645074
3.294285	-25.935179	1.640752	4.645074
8.865346	-3.254781	1.875617	5.268833
8.865346	-3.254781	1.875617	5.268833
9.130512	4.785667	0.184181	5.609272
9.255395	12.565020	0.023437	5.438687
9.255395	12.565020	0.023437	5.438687
9.871067	19.385185	0.293866	4.763137
9.871067	19.385185	0.293866	4.763137
12.808648	24.204468	1.865832	3.353147
21.206572	25.963539	5.741688	1.239014
21.206572	25.963539	5.741688	1.239014
35.084160	24.317583	9.714952	-1.107983
34.998928	20.203373	-0.092745	-2.821280
22.980797	18.683285	-8.737136	-0.969177
22.980797	18.683285	-8.737136	-0.969177
0.775719	15.089348	-15.546211	-2.469235
10.267845	11.729735	6.451606	-2.294435
10.267845	11.729735	6.451606	-2.294435
9.055516	9.200741	-0.812861	-1.742439
9.055516	7.231845	-0.812861	-1.361636
9.055516	7.231845	-0.812861	-1.361636
9.055516	5.603041	-0.812861	-1.104193
-0.300205	4.314476	-2.138788	-0.874005
-0.300205	4.314476	-2.138788	-0.874005
-0.300205	3.216486	-2.138788	-0.743008
-0.300205	2.094879	-2.138788	-0.732521
-0.300205	2.094879	-2.138788	-0.732521
-0.300205	0.913365	-2.138788	-0.765102
-0.300205	0.913365	-2.138788	-0.765102
-12.036161	-0.371006	-1.696167	-0.854197
-14.132843	-1.923827	-0.986875	-1.037064
-14.132843	-1.923827	-0.986875	-1.037064
-16.249901	-3.774396	-1.075955	-1.244507
-18.484947	-5.804985	-1.425275	-1.385528
-20.298143	-8.009558	-1.086032	-1.511704
-20.298143	-8.009558	-1.086032	-1.511704
-20.298143	-10.343362	-1.086032	-1.594287
-24.890682	-10.343362	-1.439390	-1.594287
-24.890682	-10.343362	-1.439390	-1.594287
-24.890682	-15.367541	-1.439390	-1.707592
-27.443571	-18.105036	-0.531086	-1.875048
-27.443571	-18.105036	-0.531086	-1.875048
-27.443571	-21.072424	-0.531086	-2.052271
-28.822622	-24.409115	-0.459125	-2.303187
-28.822622	-24.409115	-0.459125	-2.303187
-27.431612	-24.409115	1.083522	-2.303187
-24.786926	-32.633396	1.842782	-2.809552
-24.786926	-32.633396	1.842782	-2.809552
-23.330061	-37.572819	1.441792	-3.391520
-23.051487	-43.022545	0.528247	-3.788777
-23.051487	-43.022545	0.528247	-3.788777
-23.051487	-43.022545	0.528247	-3.788777
-21.483105	-43.022545	0.351894	-3.788777
-21.483105	-43.022545	0.351894	-3.788777
-17.198723	-51.899750	2.944197	-2.068116
-17.198723	-51.899750	2.944197	-2.068116
-17.198723	-51.268162	2.944197	0.451019
-17.198723	-48.964394	2.944197	1.628040
-17.198723	-48.964394	2.944197	1.628040
-5.708193	-45.310806	2.548181	2.576548
-2.916398	-40.365353	1.648203	3.455414
-2.916398	-34.355904	1.648203	4.156528
-2.916398	-34.355904	1.648203	4.156528
-2.916398	-27.469809	1.648203	4.748041
5.211999	-20.000576	1.590728	5.176179
5.211999	-20.000576	1.590728	5.176179
7.503022	-12.065694	1.368841	5.522389
7.503022	-3.659464	1.368841	5.862788
9.544171	-3.659464	1.344983	5.862788
9.544171	4.839083	1.344983	5.934577
9.544171	13.104229	1.344983	5.773380
9.544171	13.104229	1.344983	5.773380
12.436062	20.217844	0.707155	4.951122
16.422541	20.217844	2.516723	4.951122
16.422541	20.217844	2.516723	4.951122
26.161179	25.947487	6.663793	1.987293
36.066681	23.337242	7.069918	-1.802093
36.066681	23.337242	7.069918	-1.802093
32.256302	18.610014	-3.202683	-3.279496
16.234303	17.715429	-12.025943	-0.572670
16.234303	17.715429	-12.025943	-0.572670
15.184549	14.098495	-0.847710	-2.479218
15.184549	10.778838	-0.847710	-2.282180
15.184549	10.778838	-0.847710	-2.282180
18.286795	7.904513	0.630699	-2.001764
18.728508	5.449848	0.915028	-1.684610
18.728508	5.449848	0.915028	-1.684610
16.877075	3.481827	-0.768774	-1.324720
16.877075	3.481827	-0.768774	-1.324720
14.440697	2.041982	-1.511592	-0.992433
11.181422	0.762948	-2.319207	-0.864015
11.181422	0.762948	-2.319207	-0.864015
8.734654	0.762948	-1.287706	-0.864015
7.002803	-2.006127	-0.463411	-0.911264
4.543897	-3.489321	-1.207420	-0.993778
4.543897	-3.489321	-1.207420	-0.993778
2.048190	-5.178546	-1.175987	-1.130959
0.291519	-6.992538	-0.666991	-1.231300
0.291519	-6.992538	-0.666991	-1.231300
-1.816012	-6.992538	-1.440490	-1.231300
-4.156385	-10.870268	-1.746873	-1.334261
-4.156385	-10.870268	-1.746873	-1.334261
-5.998682	-12.965836	-1.101839	-1.421501
-7.492959	-15.249506	-0.496344	-1.546099
-7.492959	-15.249506	-0.496344	-1.546099
-8.395547	-17.810743	-0.039656	-1.748354
-9.433718	-20.683502	-0.651229	-1.977961
-9.433718	-20.683502	-0.651229	-1.977961
-9.433718	-23.926779	-0.651229	-2.234168
-9.433718	-23.926779	-0.651229	-2.234168
-9.433718	-23.926779	-0.651229	-2.234168
-10.515226	-31.649282	-0.019895	-2.642995
-10.515226	-36.076988	-0.019895	-3.042309
-9.538716	-36.076988	1.175092	-3.042309
-8.572828	-40.999615	0.351564	-3.398273
-6.943523	-45.882839	0.962953	-3.395436
-6.943523	-45.882839	0.962953	-3.395436
-4.287220	-45.882839	2.029788	-3.395436
-0.984784	-50.788334	2.254304	-1.732131
-0.984784	-50.788334	2.254304	-1.732131
1.358178	-50.845184	1.442121	-0.039145
1.358178	-49.229267	1.442121	1.152495
5.097070	-49.229267	2.613414	1.152495
9.297647	-49.229267	2.864849	1.152495
12.285657	-41.886681	1.640826	2.562594
12.285657	-41.886681	1.640826	2.562594
15.182227	-36.447109	1.557879	3.749966
18.352983	-36.447109	1.906607	3.749966
18.352983	-36.447109	1.906607	3.749966
18.352983	-23.115877	1.906607	4.599339
18.352983	-23.115877	1.906607	4.599339
22.593149	-23.115877	1.095362	4.599339
24.402363	-7.714626	1.153892	5.354568
26.003992	0.542294	1.210834	5.757596
26.003992	0.542294	1.210834	5.757596
26.937824	8.811434	0.765615	5.775578
28.127737	16.464180	0.849335	5.340808
28.127737	16.464180	0.849335	5.340808
28.127737	22.419422	0.849335	4.126954
34.998501	25.392469	2.461711	2.049268
34.998501	25.392469	2.461711	2.049268
35.342613	24.759289	0.247318	-0.426669
33.102585	21.207918	-1.874687	-2.446592
33.102585	21.207918	-1.874687	-2.446592
33.102585	19.478260	-1.874687	-1.139428
33.102585	15.675770	-1.874687	-2.609554
23.146748	15.675770	-4.046594	-2.609554
23.146748	11.952271	-4.046594	-2.564874
23.146748	11.952271	-4.046594	-2.564874
20.442125	9.038818	-0.977024	-2.029879
20.197020	6.458055	0.303726	-1.772412
20.197020	4.275789	0.303726	-1.469015
20.197020	4.275789	0.303726	-1.469015
20.197020	2.722206	0.303726	-1.078911
20.197020	1.560113	0.303726	-0.808014
20.197020	1.560113	0.303726	-0.808014
20.197020	0.365087	0.303726	-0.780580
9.198999	-0.916229	-1.278359	-0.832829
9.198999	-0.916229	-1.278359	-0.832829
6.535522	-2.253428	-1.501644	-0.894593
6.535522	-3.820322	-1.501644	-1.035436
6.535522	-3.820322	-1.501644	-1.035436
6.535522	-5.599447	-1.501644	-1.186278
6.535522	-5.599447	-1.501644	-1.186278
0.192866	-7.508661	-0.880373	-1.298424
-2.470715	-9.590446	-2.158743	-1.421917
-4.447219	-11.759785	-1.544229	-1.485571
-4.447219	-11.759785	-1.544229	-1.485571
-6.065176	-14.002250	-0.834960	-1.524742
-7.548792	-16.375643	-0.621714	-1.608044
-7.548792	-16.375643	-0.621714	-1.608044
-8.266587	-19.000080	0.079068	-1.798531
-8.266587	-21.962646	0.079068	-2.045825
-9.389467	-21.962646	-0.641835	-2.045825
-9.389467	-25.257750	-0.641835	-2.268516
-11.141568	-28.951876	-0.576059	-2.518805
-11.141568	-28.951876	-0.576059	-2.518805
-10.236581	-33.228405	1.257228	-2.896019
-9.351027	-37.843048	0.893071	-3.155012
-9.351027	-37.843048	0.893071	-3.155012
-8.216515	-42.983242	0.820217	-3.545712
-5.433657	-47.690449	1.956981	-3.270717
-5.433657	-47.690449	1.956981	-3.270717
-3.677144	-47.690449	0.930132	-3.270717
-3.677144	-47.690449	0.930132	-3.270717
-3.677144	-47.690449	0.930132	-3.270717
1.975973	-52.365799	1.903058	-1.094205
6.326284	-50.522293	3.083675	1.304609
6.326284	-50.522293	3.083675	1.304609
10.146507	-47.300121	2.441396	2.256302
10.146507	-47.300121	2.441396	2.256302
10.146507	-47.300121	2.441396	2.256302
15.560209	-47.300121	1.462672	2.256302
18.555363	-47.300121	1.866078	2.256302
18.555363	-47.300121	1.866078	2.256302
21.376141	-23.731981	1.712822	4.071603
21.376141	-16.148073	1.712822	5.274388
22.844685	-16.148073	0.738409	5.274388
24.290989	-8.013175	0.923416	5.665723
25.490982	0.496716	0.900517	5.937632
25.490982	0.496716	0.900517	5.937632
25.908360	9.141944	0.345488	6.036150
26.596350	17.347425	0.424771	5.726750
26.596350	17.347425	0.424771	5.726750
30.414587	23.872227	2.794466	4.517334
35.368923	27.255154	3.689792	2.333386
35.368923	27.255154	3.689792	2.333386
34.926945	26.595030	-0.547129	-0.432651
34.926945	22.634499	-0.547129	-2.714942
33.405209	22.634499	-1.324254	-2.714942
30.119820	20.726568	-2.706015	-1.227602
28.459299	16.527794	-1.308262	-2.870188
28.459299	16.527794	-1.308262	-2.870188
28.459299	12.185609	-1.308262	-2.948497
24.652002	8.648240	-1.651792	-2.441676
24.652002	8.648240	-1.651792	-2.441676
25.290407	5.480967	1.031510	-2.185255
