UpperAngle(R)	LowerAngle(R)	UpperLegAV(R)	LowerLegAV(R)
23.417652	2.803903	-1.368534	-1.823134
23.417652	2.803903	-1.368534	-1.823134
21.769873	0.742661	-0.728327	-1.448415
19.673986	-0.871275	-1.715360	-1.121584
19.673986	-0.871275	-1.715360	-1.121584
17.482702	-2.516536	-1.072257	-1.070881
15.529533	-3.854998	-1.213598	-0.907252
15.529533	-3.854998	-1.213598	-0.907252
13.594584	-5.081409	-1.253614	-0.824150
11.564797	-6.133405	-1.147002	-0.704285
11.564797	-6.133405	-1.147002	-0.704285
9.144606	-7.060707	-1.231551	-0.620398
9.144606	-7.060707	-1.231551	-0.620398
9.144606	-7.060707	-1.231551	-0.620398
4.628203	-8.912446	-1.185075	-0.616620
4.628203	-9.967812	-1.185075	-0.698615
4.628203	-9.967812	-1.185075	-0.698615
4.628203	-11.158994	-1.185075	-0.784910
4.628203	-12.490562	-1.185075	-0.872533
4.628203	-12.490562	-1.185075	-0.872533
4.628203	-13.934148	-1.185075	-0.941228
4.628203	-15.645015	-1.185075	-1.111185
4.628203	-15.645015	-1.185075	-1.111185
4.628203	-17.813524	-1.185075	-1.420257
4.628203	-20.272648	-1.185075	-1.619458
4.628203	-20.272648	-1.185075	-1.619458
4.628203	-22.722395	-1.185075	-1.594584
4.628203	-24.938723	-1.185075	-1.454716
4.628203	-24.938723	-1.185075	-1.454716
4.628203	-27.141859	-1.185075	-1.457798
4.628203	-27.141859	-1.185075	-1.457798
4.628203	-27.141859	-1.185075	-1.457798
-9.313777	-31.427704	-0.425525	-1.424671
-9.313777	-32.827278	-0.425525	-0.999843
-8.970007	-32.827278	0.886298	-0.999843
-8.970007	-32.827278	0.886298	-0.999843
-8.049510	-32.827278	0.900537	-0.999843
-8.049510	-32.827278	0.900537	-0.999843
-7.494914	-32.827278	0.804419	-0.999843
-6.786116	-32.827278	0.876219	-0.999843
-6.786116	-32.827278	0.876219	-0.999843
-6.786116	-29.021194	0.876219	0.123870
-5.244197	-26.854139	0.806277	0.644803
-5.244197	-26.854139	0.806277	0.644803
-4.388492	-24.392670	0.744375	0.697518
-3.387651	-24.392670	0.817520	0.697518
-3.387651	-24.392670	0.817520	0.697518
-2.263398	-18.624794	0.881875	0.792318
-0.907255	-15.620030	1.025325	0.758138
-0.907255	-15.620030	1.025325	0.758138
0.677878	-12.803791	1.138426	0.692443
2.297003	-10.360385	1.117824	0.623283
2.297003	-10.360385	1.117824	0.623283
3.875417	-8.276492	1.054374	0.548929
3.875417	-6.544563	1.054374	0.468940
5.349091	-6.544563	0.961191	0.468940
6.663660	-5.089199	0.846644	0.433381
7.810915	-3.736444	0.730905	0.439908
7.810915	-3.736444	0.730905	0.439908
8.992820	-2.486700	0.758753	0.365535
10.175574	-1.329921	0.759731	0.264673
10.175574	-1.329921	0.759731	0.264673
11.428262	-0.260566	0.796794	0.201905
12.711576	0.683090	0.816796	0.106322
12.711576	0.683090	0.816796	0.106322
14.032360	1.448570	0.848076	-0.024261
15.309057	1.962713	0.829975	-0.174126
15.309057	1.962713	0.829975	-0.174126
16.631136	2.158533	0.885599	-0.345831
18.068794	2.050622	0.998830	-0.486364
18.068794	2.050622	0.998830	-0.486364
19.344063	1.631990	0.928592	-0.622974
20.258842	0.984110	0.716391	-0.696079
20.258842	0.984110	0.716391	-0.696079
20.710964	0.222861	0.403350	-0.699885
20.577438	-0.329523	-0.063751	-0.448524
20.577438	-0.329523	-0.063751	-0.448524
19.381546	-0.768428	-0.823994	-0.302370
18.804590	-1.491728	-0.258605	-0.450237
18.804590	-1.491728	-0.258605	-0.450237
17.064938	-2.382850	-1.390474	-0.559898
17.064938	-2.382850	-1.390474	-0.559898
15.549503	-3.056120	-0.770159	-0.430347
15.008719	-3.464886	-0.112367	-0.290760
15.008719	-3.464886	-0.112367	-0.290760
13.037251	-3.529294	-0.946651	-0.041267
12.306210	-3.533812	-0.394867	0.002102
10.996394	-3.519255	-0.865031	0.017423
10.996394	-3.519255	-0.865031	0.017423
9.773121	-3.532018	-0.473757	0.023512
9.773121	-3.532018	-0.473757	0.023512
8.387006	-3.503433	-0.639223	0.068636
7.043257	-3.378916	-0.571781	0.133449
5.754541	-3.242289	-0.493615	0.143087
5.754541	-3.242289	-0.493615	0.143087
4.309650	-3.210880	-0.453748	0.091022
2.931265	-3.250314	-0.371659	0.045866
2.931265	-3.250314	-0.371659	0.045866
1.467681	-3.344497	-0.462076	-0.004173
0.072023	-3.539418	-0.539581	-0.067163
0.072023	-3.539418	-0.539581	-0.067163
-1.390884	-3.863206	-0.468698	-0.150361
-1.390884	-4.339861	-0.468698	-0.260991
-1.390884	-4.339861	-0.468698	-0.260991
-3.969152	-5.007490	-0.423721	-0.394119
-5.262325	-5.923649	-0.350504	-0.558492
-5.262325	-5.923649	-0.350504	-0.558492
-6.523699	-7.104643	-0.329988	-0.737516
-7.616381	-8.482933	-0.333813	-0.875441
-7.616381	-8.482933	-0.333813	-0.875441
-8.644180	-10.030981	-0.317641	-0.988544
-8.644180	-11.692284	-0.317641	-1.067033
-9.566327	-11.692284	-0.320533	-1.067033
-10.581306	-13.425439	-0.329111	-1.120443
-11.493863	-15.207302	-0.332793	-1.152839
-11.493863	-15.207302	-0.332793	-1.152839
-12.547304	-17.118113	-0.363541	-1.224832
-13.548837	-19.124273	-0.318240	-1.289702
-13.548837	-19.124273	-0.318240	-1.289702
-14.576530	-21.247320	-0.381270	-1.362234
-15.359537	-23.604757	-0.146166	-1.506995
-15.359537	-23.604757	-0.146166	-1.506995
-15.733949	-26.257086	0.059579	-1.716233
-15.767300	-29.339369	0.436439	-2.030988
-15.767300	-29.339369	0.436439	-2.030988
-14.914109	-32.750938	0.802506	-2.337968
-13.502891	-36.864784	0.181143	-2.784957
-13.502891	-36.864784	0.181143	-2.784957
-11.792398	-41.078590	1.234808	-2.767209
-11.792398	-44.689423	1.234808	-2.230112
-11.792398	-44.689423	1.234808	-2.230112
-11.792398	-46.933018	1.234808	-1.389068
-11.792398	-46.933018	1.234808	-1.389068
